setting,shot,signal,aurc_mean,aurc_sd,curve_mean,curve_sd,coverage_0.30_risk_mean,coverage_0.30_risk_sd,coverage_0.30_random_ci_half,coverage_0.50_risk_mean,coverage_0.50_risk_sd,coverage_0.50_random_ci_half,coverage_0.70_risk_mean,coverage_0.70_risk_sd,coverage_0.70_random_ci_half,error_auroc_mean,error_auroc_sd,error_auprc_mean,error_auprc_sd
rare,0,random,,,,,,,,0.4999691358024692,0.0014380447418177072,0.002668479944600563,,,,,,,
rare,0,p,,,,,,,,,,,0.4960352422907489,0.0009850519724668753,,,,,
rare,0,msp,,,,,,,,,,,0.4995594713656388,0.0018428634945684627,,,,,
rare,0,margin,,,,,,,,,,,0.4995594713656388,0.0018428634945684627,,,,,
rare,0,entropy,,,,,,,,,,,0.49867841409691627,0.0019701039449337506,,,,,
rare,0,u,,,,,,,,,,,0.4977973568281938,0.0015575039233183987,,,,,
rare,0,random,,,,,,,,,,,0.5001453744493392,0.0010844914469285124,0.001719418808961139,,,,
rare,0,err-detect-msp,,,,,,,,,,,,,,0.5003315043438501,0.00044111851226616135,0.4996193517534607,0.0003966903973842049
rare,0,err-detect-entropy,,,,,,,,,,,,,,0.5003315043438501,0.00044111851226616135,0.4996193517534607,0.0003966903973842049
rare,0,err-detect-u,,,,,,,,,,,,,,0.501537494284408,0.00017819580063216316,0.5020672623522513,0.0010362261140275482
