setting,shot,signal,aurc_mean,aurc_sd,curve_mean,curve_sd,coverage_0.30_risk_mean,coverage_0.30_risk_sd,coverage_0.30_random_ci_half,coverage_0.50_risk_mean,coverage_0.50_risk_sd,coverage_0.50_random_ci_half,coverage_0.70_risk_mean,coverage_0.70_risk_sd,coverage_0.70_random_ci_half,error_auroc_mean,error_auroc_sd,error_auprc_mean,error_auprc_sd
rare,0,u,,,,,,,,0.538888888888889,0.09474353512804802,,,,,,,,
rare,0,random,,,,,,,,0.4994074074074074,0.002488700458585797,0.004725147389830931,,,,,,,
rare,0,p,,,,,,,,,,,0.3880794701986755,0.030203322519182438,,,,,
rare,0,msp,,,,,,,,,,,0.4887417218543046,0.040391922336362636,,,,,
rare,0,margin,,,,,,,,,,,0.4887417218543046,0.040391922336362636,,,,,
rare,0,entropy,,,,,,,,,,,0.4887417218543046,0.03728659141790528,,,,,
rare,0,u,,,,,,,,,,,0.48741721854304626,0.03962457033550088,,,,,
rare,0,random,,,,,,,,,,,0.5009735099337748,0.0017605185212872664,0.0030462520581394314,,,,
rare,0,err-detect-msp,,,,,,,,,,,,,,0.6381795090735782,0.04250318745049137,0.45290517175103284,0.052949268232162214
rare,0,err-detect-entropy,,,,,,,,,,,,,,0.6382245309141628,0.0421585213339997,0.45293487600719506,0.051891806003702225
rare,0,err-detect-u,,,,,,,,,,,,,,0.6384724621571192,0.040534305142968574,0.4624620457046813,0.04588542849090177
