auroc,auprc,acc,f1_macro,ece,brier,nll,hce,hce_coverage,hce_count,hce_err,intercept,slope,n,bin_counts,setting,method,row,train_seed,scaled
0.5418288638985006,0.5733198228912822,0.5318627450980392,0.4056459395811728,0.23022147395833334,0.31658262546933574,1.064356859796242,0.40604026845637586,0.36519607843137253,298,121,0.3901119768565051,0.30308022237942545,816,[262  43  45  75  97 120  82  37  19  36],fewer,EviDDIE w/o EVI,EviDDIE w/o EVI,19940419,False
0.691434784698193,0.6389184063508186,0.6348039215686274,0.6366187507341269,0.07869274215686281,0.22264874648208724,0.6346181925983009,,0.0,0,0,0.09835264740713111,0.6086748603253548,816,[  0  29  97 138 108 236 119  83   6   0],fewer,EviDDIE w/o EVI,EviDDIE w/o EVI,20230801,False
0.6229575163398693,0.6046365272850132,0.6151960784313726,0.5224019629800545,0.17426563083333338,0.2789850707305958,0.8364190437137854,0.4223300970873786,0.25245098039215685,206,87,0.32687785149483706,0.38293424880007226,816,[185  90  53  74  98 134  78  36  47  21],fewer,EviDDIE w/o EVI,EviDDIE w/o EVI,20240115,False
0.5164600153787006,0.5621583775717125,0.5183823529411765,0.29914350903054177,0.25333004327205877,0.32795127286209413,1.1036712343834378,0.44404332129963897,0.3394607843137255,277,123,0.3887943893841926,0.25951138859635203,816,[238  55  89 110 111  71  48  38  17  39],fewer,EviDDIE w/o EVI,EviDDIE w/o EVI,20240520,False
0.6168601018838908,0.6309289290406725,0.5784313725490197,0.5355280279129048,0.11334962450980389,0.2572631203397666,0.7394798929812383,0.2116788321167883,0.16789215686274508,137,29,0.2894378842638919,0.47954754444502146,816,[ 90  75  49  79 131 190 107  28  20  47],fewer,EviDDIE w/o EVI,EviDDIE w/o EVI,20240910,False
0.5418288638985006,0.5733198228912822,0.5318627450980392,0.4056459395811728,0.09600286172026593,0.2535211503103564,0.7020519893882966,,0.0,0,0,0.2548676352011429,0.691296911039362,816,[  0   0  98 173 251 255  39   0   0   0],fewer,EviDDIE w/o EVI,EviDDIE w/o EVI + TempScale,19940419,True
0.691434784698193,0.6389184063508186,0.6348039215686274,0.6366187507341269,0.05090984701479388,0.22439528443457868,0.6396910289939174,,0.0,0,0,-0.25577808948865394,1.4376716058174626,816,[  0   1  57 160 154 287 125  32   0   0],fewer,EviDDIE w/o EVI,EviDDIE w/o EVI + TempScale,20230801,True
0.6229575163398693,0.6046365272850132,0.6151960784313726,0.5224019629800545,0.0912150211576813,0.24458086641084634,0.6834742433359497,,0.0,0,0,0.2112571769300907,0.5585303115329354,816,[  0   8 127 154 211 236  71   9   0   0],fewer,EviDDIE w/o EVI,EviDDIE w/o EVI + TempScale,20240115,True
0.5164600153787006,0.5621583775717125,0.5183823529411765,0.29914350903054177,0.10331159090285905,0.26441846004298236,0.7288547666580487,,0.0,0,0,0.2694931005393072,0.6674352820784327,816,[  0   2 165 117 319 159  37  17   0   0],fewer,EviDDIE w/o EVI,EviDDIE w/o EVI + TempScale,20240520,True
0.6168601018838908,0.6309289290406725,0.5784313725490197,0.5355280279129048,0.03578747583505187,0.23831014059770048,0.669101795334848,,0.0,0,0,0.10217256065854606,0.8588457836812134,816,[  0  39  65  99 221 308  29  55   0   0],fewer,EviDDIE w/o EVI,EviDDIE w/o EVI + TempScale,20240910,True
