setting,shot,signal,aurc_mean,aurc_sd,curve_mean,curve_sd,coverage_0.30_risk_mean,coverage_0.30_risk_sd,coverage_0.30_random_ci_half,coverage_0.50_risk_mean,coverage_0.50_risk_sd,coverage_0.50_random_ci_half,coverage_0.70_risk_mean,coverage_0.70_risk_sd,coverage_0.70_random_ci_half,coverage_0.90_risk_mean,coverage_0.90_risk_sd,coverage_0.90_random_ci_half,error_auroc_mean,error_auroc_sd,error_auprc_mean,error_auprc_sd
rare,1,random,0.14637755102040817,0.01585475088990441,"0.1541,0.1541,0.1541,0.1541,0.1541,0.1541,0.1541,0.1541,0.1541,0.1541,0.1541,0.1541,0.1541,0.1541,0.1541,0.1541,0.1541,0.1541,0.1541,0.1541","0.0167,0.0167,0.0167,0.0167,0.0167,0.0167,0.0167,0.0167,0.0167,0.0167,0.0167,0.0167,0.0167,0.0167,0.0167,0.0167,0.0167,0.0167,0.0167,0.0167",,,,,,,,,,,,,,,,
rare,1,p,,,,,0.030508474576271188,0.014180678415831791,,,,,,,,,,,,,,
rare,1,msp,,,,,0.03389830508474577,0.023969721396154157,,,,,,,,,,,,,,
rare,1,margin,,,,,0.03389830508474577,0.023969721396154157,,,,,,,,,,,,,,
rare,1,entropy,,,,,0.03389830508474577,0.023969721396154157,,,,,,,,,,,,,,
rare,1,u,,,,,0.11864406779661016,0.016949152542372878,,,,,,,,,,,,,,
rare,1,random,,,,,0.15188135593220337,0.0165854407759934,0.0054373809918016975,,,,,,,,,,,,,
rare,1,p,,,,,,,,0.1285714285714286,0.02756991037980877,,,,,,,,,,,
rare,1,msp,,,,,,,,0.055102040816326525,0.01163444311325651,,,,,,,,,,,
rare,1,margin,,,,,,,,0.055102040816326525,0.01163444311325651,,,,,,,,,,,
rare,1,entropy,,,,,,,,0.055102040816326525,0.01163444311325651,,,,,,,,,,,
rare,1,u,,,,,,,,0.1571428571428571,0.017074694419062772,,,,,,,,,,,
rare,1,random,,,,,,,,0.1546122448979592,0.016968585460926704,0.003639307928442499,,,,,,,,,,
rare,1,p,,,,,,,,,,,0.1854014598540146,0.009792998441604915,,,,,,,,
rare,1,msp,,,,,,,,,,,0.07737226277372262,0.016804181654337717,,,,,,,,
rare,1,margin,,,,,,,,,,,0.07737226277372262,0.016804181654337717,,,,,,,,
rare,1,entropy,,,,,,,,,,,0.07737226277372262,0.016804181654337717,,,,,,,,
rare,1,u,,,,,,,,,,,0.1708029197080292,0.024536841334265133,,,,,,,,
rare,1,random,,,,,,,,,,,0.15435036496350363,0.017408537237105268,0.0023812761466361953,,,,,,,
rare,1,p,,,,,,,,,,,,,,0.16136363636363635,0.018235007427137746,,,,,
rare,1,msp,,,,,,,,,,,,,,0.12159090909090908,0.028008539872423265,,,,,
rare,1,margin,,,,,,,,,,,,,,0.12159090909090908,0.028008539872423265,,,,,
rare,1,entropy,,,,,,,,,,,,,,0.12159090909090908,0.028008539872423265,,,,,
rare,1,u,,,,,,,,,,,,,,0.16022727272727272,0.015766405597172285,,,,,
rare,1,random,,,,,,,,,,,,,,0.15398863636363636,0.01719971157098282,0.0011874480185442185,,,,
rare,1,err-detect-msp,,,,,,,,,,,,,,,,,0.7758709422123818,0.01056349266612255,0.41226731633985425,0.042365706526577035
rare,1,err-detect-entropy,,,,,,,,,,,,,,,,,0.7758709422123818,0.01056349266612255,0.41226731633985425,0.042365706526577035
rare,1,err-detect-u,,,,,,,,,,,,,,,,,0.5072379531346103,0.039536583164154496,0.15479848450643982,0.022656560212304565
rare,5,p,0.08384402104815274,0.01718614683029548,"0.0000,0.0000,0.0000,0.0087,0.0069,0.0114,0.0146,0.0261,0.0462,0.1103,0.1562,0.1629,0.1680,0.1679,0.1632,0.1548,0.1455,0.1385,0.1327,0.1259","0.0000,0.0000,0.0000,0.0194,0.0154,0.0256,0.0327,0.0357,0.0349,0.0094,0.0191,0.0373,0.0321,0.0297,0.0274,0.0248,0.0233,0.0221,0.0209,0.0198",,,,,,,,,,,,,,,,
rare,5,msp,0.028873347153422185,0.010014607003642683,"0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0049,0.0087,0.0077,0.0069,0.0125,0.0171,0.0213,0.0296,0.0483,0.0602,0.0808,0.1019,0.1145,0.1259","0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0109,0.0119,0.0105,0.0094,0.0204,0.0156,0.0202,0.0256,0.0262,0.0223,0.0160,0.0187,0.0152,0.0198",,,,,,,,,,,,,,,,
rare,5,margin,0.028873347153422185,0.010014607003642683,"0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0049,0.0087,0.0077,0.0069,0.0125,0.0171,0.0213,0.0296,0.0483,0.0602,0.0808,0.1019,0.1145,0.1259","0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0109,0.0119,0.0105,0.0094,0.0204,0.0156,0.0202,0.0256,0.0262,0.0223,0.0160,0.0187,0.0152,0.0198",,,,,,,,,,,,,,,,
rare,5,entropy,0.028873347153422185,0.010014607003642683,"0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0049,0.0087,0.0077,0.0069,0.0125,0.0171,0.0213,0.0296,0.0483,0.0602,0.0808,0.1019,0.1145,0.1259","0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0109,0.0119,0.0105,0.0094,0.0204,0.0156,0.0202,0.0256,0.0262,0.0223,0.0160,0.0187,0.0152,0.0198",,,,,,,,,,,,,,,,
rare,5,u,0.15753685576618254,0.04360298151950172,"0.1667,0.2000,0.1882,0.2174,0.2069,0.1829,0.1951,0.1870,0.1654,0.1690,0.1594,0.1571,0.1547,0.1481,0.1425,0.1355,0.1354,0.1327,0.1273,0.1259","0.1667,0.1264,0.1275,0.1108,0.0771,0.0658,0.0645,0.0587,0.0520,0.0283,0.0204,0.0267,0.0242,0.0231,0.0238,0.0223,0.0197,0.0219,0.0232,0.0198",,,,,,,,,,,,,,,,
rare,5,random,0.11956896551724139,0.018854002088897016,"0.1259,0.1259,0.1259,0.1259,0.1259,0.1259,0.1259,0.1259,0.1259,0.1259,0.1259,0.1259,0.1259,0.1259,0.1259,0.1259,0.1259,0.1259,0.1259,0.1259","0.0198,0.0198,0.0198,0.0198,0.0198,0.0198,0.0198,0.0198,0.0198,0.0198,0.0198,0.0198,0.0198,0.0198,0.0198,0.0198,0.0198,0.0198,0.0198,0.0198",,,,,,,,,,,,,,,,
rare,5,p,,,,,0.011428571428571429,0.025555062599997593,,,,,,,,,,,,,,
rare,5,msp,,,,,0.0,0.0,,,,,,,,,,,,,,
rare,5,margin,,,,,0.0,0.0,,,,,,,,,,,,,,
rare,5,entropy,,,,,0.0,0.0,,,,,,,,,,,,,,
rare,5,u,,,,,0.18285714285714288,0.0657763681898362,,,,,,,,,,,,,,
rare,5,random,,,,,0.12514285714285714,0.022367295732102863,0.006645698590155203,,,,,,,,,,,,,
rare,5,p,,,,,,,,0.1103448275862069,0.00944349237077873,,,,,,,,,,,
rare,5,msp,,,,,,,,0.006896551724137931,0.009443492370778727,,,,,,,,,,,
rare,5,margin,,,,,,,,0.006896551724137931,0.009443492370778727,,,,,,,,,,,
rare,5,entropy,,,,,,,,0.006896551724137931,0.009443492370778727,,,,,,,,,,,
rare,5,u,,,,,,,,0.16896551724137931,0.02833047711233617,,,,,,,,,,,
rare,5,random,,,,,,,,0.1275862068965517,0.02029838357463872,0.004392239181799309,,,,,,,,,,
rare,5,p,,,,,,,,,,,0.16790123456790124,0.029732332293314307,,,,,,,,
rare,5,msp,,,,,,,,,,,0.029629629629629627,0.025600544880651502,,,,,,,,
rare,5,margin,,,,,,,,,,,0.029629629629629627,0.025600544880651502,,,,,,,,
rare,5,entropy,,,,,,,,,,,0.029629629629629627,0.025600544880651502,,,,,,,,
rare,5,u,,,,,,,,,,,0.14814814814814814,0.023096650535641614,,,,,,,,
rare,5,random,,,,,,,,,,,0.12654320987654322,0.01982442749794037,0.002897540484726188,,,,,,,
rare,5,p,,,,,,,,,,,,,,0.13846153846153844,0.022136277756194884,,,,,
rare,5,msp,,,,,,,,,,,,,,0.10192307692307694,0.018743835278478775,,,,,
rare,5,margin,,,,,,,,,,,,,,0.10192307692307694,0.018743835278478775,,,,,
rare,5,entropy,,,,,,,,,,,,,,0.10192307692307694,0.018743835278478775,,,,,
rare,5,u,,,,,,,,,,,,,,0.1326923076923077,0.02192645048267573,,,,,
rare,5,random,,,,,,,,,,,,,,0.12579807692307693,0.020067511563226677,0.0014788977918755541,,,,
rare,5,err-detect-msp,,,,,,,,,,,,,,,,,0.8588665925416071,0.036671773021965524,0.38488551925706277,0.057877140113330124
rare,5,err-detect-entropy,,,,,,,,,,,,,,,,,0.8588665925416071,0.036671773021965524,0.38488551925706277,0.057877140113330124
rare,5,err-detect-u,,,,,,,,,,,,,,,,,0.37689327850852306,0.06246222010887565,0.11507174919561984,0.02582685725017552
